,h1,art,price,price2,gold,gold2,weight,gems,gems2,url,d1,d0
31,Серебряные серьги с бриллиантами,Артикул: 155781,2790₽,13950₽,"Артикул: 155781;Серьги с 8 бриллиантами, огранка круг 17 граней, 0.02 карат, цвет 3, чистота 4, тип огранки Б;    
Серебро 925 пробы.;Вес изделия: 3.49г;Серьги с 8 бриллиантами, огранка круг 17 граней, 0.02 карат, цвет 3, чистота 4, тип огранки Б;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_155781.html,02-01757-07-101-01-07&РОССИЯ&Серебро&Бриллиант&3.49 г,SERGEY GRIBNYAKOV&Драгоценные камни. Серебро
32,Браслет из родохрозита с золотым замком,Артикул: 303028,5490₽,10980₽,"Артикул: 303028;Браслет, вставка:  родохрозит;    
Розовое золото 585 пробы.;Вес изделия: 4.86г;Браслет, вставка:  родохрозит;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/bracelets_303028.html,БРДХ4-З&РОССИЯ&Розовое золото&4.86 г,Палитра&Золото. Хризолиты
33,Золотые серьги с бирюзой и бриллиантами,Артикул: 107793,34990₽,116633₽,"Артикул: 107793;Серьги с 48 бриллиантами, огранка круг 17 граней, 0.20 карат, цвет 2, чистота 3, тип огранки Б;
2 имитациями бирюзы, 3.69 карат;10 сапфирами бесцветными, 0.42 карат;    
Желтое золото 585 пробы.;Вес изделия: 4.65г;Серьги с 48 бриллиантами, огранка круг 17 граней, 0.20 карат, цвет 2, чистота 3, тип огранки Б;
2 имитациями бирюзы, 3.69 карат;10 сапфирами бесцветными, 0.42 карат;    
Желтое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_107793.html,90096-C5Y-01&Желтое золото&Бриллиант; Бирюза&4.65 г,SERGEY GRIBNYAKOV&Золото. Хризолиты
34,Серебряные серьги с фианитами,Артикул: 292432,2790₽,5580₽,"Артикул: 292432;Серьги, вставка:  фианит;    
Серебро 925 пробы.;Вес изделия: 2.66г;Серьги, вставка:  фианит;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_292432.html,С-2872-Р&РОССИЯ&Серебро&Фианит&2.66 г,SERGEY GRIBNYAKOV&СЕРЕБРО. Классика
35,Золотые серьги,Артикул: 258299,14440₽,48133₽,"Артикул: 258299;Серьги    
Желтое золото 585 пробы.;Вес изделия: 3.85г;Серьги    
Желтое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_258299.html,23001403*&РОССИЯ&Желтое золото&3.85 г,ГолдиКа&Золотые украшения без вставок
36,Золотой браслет с ониксом,Артикул: 260203,11000₽,22000₽,"Артикул: 260203;Браслет с 2 ониксами синтетическими, 0.08 карат;    
Желтое золото 585 пробы.;Вес изделия: 1.42г;Браслет с 2 ониксами синтетическими, 0.08 карат;    
Желтое золото 585 пробы.",,,,,https://sunlight.net/catalog/bracelets_260203.html,11796-B5Y-01&Желтое золото&Оникс&1.42 г,JASMİNE JEWELLERY
37,Золотая подвеска с изумрудами,Артикул: 96526,19990₽,39980₽,"Артикул: 96526;Подвеска с 11 изумрудами, 0.11 карат, цвет 3, чистота 3, тип огранки В;    
Розовое золото 585 пробы.;Вес изделия: 0.89г;Подвеска с 11 изумрудами, 0.11 карат, цвет 3, чистота 3, тип огранки В;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/pendants_96526.html,70223-P5R-01&РОССИЯ&Розовое золото&Изумруд&0.89 г,SERGEY GRIBNYAKOV&Золото. Изумруды
38,Серебряная подвеска с фианитами,Артикул: 277762,790₽,1580₽,"Артикул: 277762;Подвеска, вставка:  фианит;    
Серебро 925 пробы.;Вес изделия: 1.26г;Подвеска, вставка:  фианит;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/pendants_277762.html,П-2669-Р&РОССИЯ&Серебро&Фианит&1.26 г,SERGEY GRIBNYAKOV&СЕРЕБРО. Классика
39,Золотые серьги с фианитами,Артикул: 44698,14490₽,28980₽,"Артикул: 44698;Серьги, вставка:  фианит;    
Розовое золото 585 пробы.;Вес изделия: 1.58г;Серьги, вставка:  фианит;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_44698.html,30009200*&РОССИЯ&Розовое золото&Фианит&1.58 г,SERGEY GRIBNYAKOV&Детская коллекция
40,Золотые серьги с фианитами,Артикул: 55146,10490₽,20980₽,"Артикул: 55146;Серьги, вставка:  фианит;    
Розовое золото 585 пробы.;Вес изделия: 1.59г;Серьги, вставка:  фианит;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_55146.html,2101812703*&РОССИЯ&Розовое золото&Фианит&1.59 г,SERGEY GRIBNYAKOV&Детская коллекция
41,Золотые серьги с бриллиантами,Артикул: 177153,34990₽,69980₽,"Артикул: 177153;Серьги с 92 бриллиантами, огранка круг 17 граней, 0.16 карат, цвет 2, чистота 2, тип огранки Б;    
Желтое золото 585 пробы.;Вес изделия: 2.05г;Серьги с 92 бриллиантами, огранка круг 17 граней, 0.16 карат, цвет 2, чистота 2, тип огранки Б;    
Желтое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_177153.html,1439-C5Y-09&РОССИЯ&Желтое золото&Бриллиант&2.05 г,Бриллианты Якутии&Бриллианты. Классика
