,h1,art,price,price2,gold,gold2,weight,gems,gems2,url,d1,d0
12972,"Золотое кольцо с сапфирами, танзанитом и бриллиантами",Артикул: 91223,72990₽,364950₽,"Артикул: 91223;Кольцо с 20 бриллиантами, огранка круг 57 граней, 0.06 карат, цвет 4, чистота 6, тип огранки А;
44 сапфирами, 0.53 карат, цвет 4, чистота 3, тип огранки В;1 танзанитом, 1.63 карат;    
Белое золото 585 пробы.

Танзаниты - редчайшие камни из единственного месторождения в мире у подножья горы Килиманджаро в Танзании. 
Самые интригующие и желанные камни нашего времени.
Считается, что танзанит способствует развитию интуиции и успешному поиску смысла жизни, приносит уют и взаимопонимание в семью.;Вес изделия: 2.62г;Кольцо с 20 бриллиантами, огранка круг 57 граней, 0.06 карат, цвет 4, чистота 6, тип огранки А;
44 сапфирами, 0.53 карат, цвет 4, чистота 3, тип огранки В;1 танзанитом, 1.63 карат;    
Белое золото 585 пробы.;Танзаниты - редчайшие камни из единственного месторождения в мире у подножья горы Килиманджаро в Танзании. 
Самые интригующие и желанные камни нашего времени.
Считается, что танзанит способствует развитию интуиции и успешному поиску смысла жизни, приносит уют и взаимопонимание в семью.",,,,,https://sunlight.net/catalog/ring_91223.html,90056-K5W-01&Белое золото&Бриллиант; Танзанит; Сапфир&2.62 г,SERGEY GRIBNYAKOV&Золото. Сапфиры
12973,Золотой браслет со шпинелью,Артикул: 290705,8990₽,29967₽,"Артикул: 290705;Браслет с 62 шпинелями, 4.95 карат;    
Розовое золото 585 пробы.;Вес изделия: 1.86г;Браслет с 62 шпинелями, 4.95 карат;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/bracelets_290705.html,08-1-161-7400-010*&РОССИЯ&Розовое золото&Шпинель&1.86 г,SERGEY GRIBNYAKOV
12974,Серебряный браслет,Артикул: 256753,774₽,2580₽,"Артикул: 256753;Браслет    
Серебро 925 пробы.;Вес изделия: 1.46г;Браслет    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/bracelets_256753.html,S14854-B9W-01&Серебро&1.46 г,SERGEY GRIBNYAKOV&СЕРЕБРО. FASHION 
12975,Золотое кольцо с фианитами,Артикул: 166228,5690₽,18967₽,"Артикул: 166228;Кольцо, вставка:  фианит;    
Розовое золото 585 пробы.

Костромские ювелирные украшения: традиционный русский стиль -  Коллекция украшений с традиционными русскими дизайнами. Украшения несут в себе ювелирные традиции, любимые многими поколениями российских женщин, которые сохранят свою ценность на многие года.;Вес изделия: 1.3г;Кольцо, вставка:  фианит;    
Розовое золото 585 пробы.;Костромские ювелирные украшения: традиционный русский стиль -  Коллекция украшений с традиционными русскими дизайнами. Украшения несут в себе ювелирные традиции, любимые многими поколениями российских женщин, которые сохранят свою ценность на многие года.",,,,,https://sunlight.net/catalog/ring_166228.html,КК01026ФК*&РОССИЯ&Розовое золото&Фианит&1.3 г,SERGEY GRIBNYAKOV
12976,Серебряное кольцо с алпанитом,Артикул: 243950,3790₽,7580₽,"Артикул: 243950;Кольцо, вставка:  алпанит;    
Серебро 925 пробы.;Вес изделия: 5.14г;Кольцо, вставка:  алпанит;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/ring_243950.html,S55063-K9W-01&Серебро&Алпанит&5.14 г,SERGEY GRIBNYAKOV
12977,Золотые серьги с фианитами,Артикул: 251658,7794₽,25980₽,"Артикул: 251658;Серьги, вставка:  фианит;    
Белое золото 585 пробы.

Белое золото. Изысканное сияние белого золота придает украшениям  вневременную элегантность. Если обычное ювелирное золото содержит чистое золото и сплав из серебра и меди, то в сплав белого золота вместо меди добавляется никель или палладий, которые и окрашивают металл в белый цвет.  После полировки на ювелирное изделие наносится родиевое покрытие. В компании Sunlight слой родия составляет не менее 3-х микрон в украшениях белого золота. Это необходимо для износостойкости, родий - медицинский гипоаллергенный металл, а так же для эстетически выразительного цвета украшения. Его блеск подчеркивает красоту прозрачных фианитов их яркость блеска и разнообразие огранок. Отличительная черта украшений  в белом золоте - это классические и европейские дизайны модельного ряда, представленные в коллекции. Быть совершенной легко!
Конго - это классическая форма серег, универсальная. Серьги в зависимости от формы объема и дизайна будут уместны  в любой сезон круглый год.  Сегодня конго  часто демонстрируют популярные Западные и Отечественные звезды, главное,  выбрать «свои» конго по форме и желанию.;Вес изделия: 2.01г;Серьги, вставка:  фианит;    
Белое золото 585 пробы.;Белое золото. Изысканное сияние белого золота придает украшениям  вневременную элегантность. Если обычное ювелирное золото содержит чистое золото и сплав из серебра и меди, то в сплав белого золота вместо меди добавляется никель или палладий, которые и окрашивают металл в белый цвет.  После полировки на ювелирное изделие наносится родиевое покрытие. В компании Sunlight слой родия составляет не менее 3-х микрон в украшениях белого золота. Это необходимо для износостойкости, родий - медицинский гипоаллергенный металл, а так же для эстетически выразительного цвета украшения. Его блеск подчеркивает красоту прозрачных фианитов их яркость блеска и разнообразие огранок. Отличительная черта украшений  в белом золоте - это классические и европейские дизайны модельного ряда, представленные в коллекции. Быть совершенной легко!
Конго - это классическая форма серег, универсальная. Серьги в зависимости от формы объема и дизайна будут уместны  в любой сезон круглый год.  Сегодня конго  часто демонстрируют популярные Западные и Отечественные звезды, главное,  выбрать «свои» конго по форме и желанию.",,,,,https://sunlight.net/catalog/earring_251658.html,5-4033-303-2Б*&РОССИЯ&Белое золото&Фианит&2.01 г,SERGEY GRIBNYAKOV&Белое и желтое золото
12978,Золотое кольцо с рубинами,Артикул: 69294,11394₽,37980₽,"Артикул: 69294;Кольцо с 40 бриллиантами, огранка круг 17 граней, 0.08 карат, цвет 2, чистота 2, тип огранки Б;
1 рубином синтетическим, 0.51 карат, тип огранки Б;    
Розовое золото 585 пробы.;Вес изделия: 2.07г;Кольцо с 40 бриллиантами, огранка круг 17 граней, 0.08 карат, цвет 2, чистота 2, тип огранки Б;
1 рубином синтетическим, 0.51 карат, тип огранки Б;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/ring_69294.html,9944-K5R-04&РОССИЯ&Розовое золото&Рубин&2.07 г,SERGEY GRIBNYAKOV&Золото. Рубины
12979,Золотой пирсинг с фианитами,Артикул: 243229,1134₽,3780₽,"Артикул: 243229;Пирсинг, вставка:  фианит;    
Розовое золото 585 пробы.

Трендовые золотые украшения. Стильные украшения – обязательный элемент модного образа. Кольца и браслеты, колье и серьги – они всегда вызывают повышенный интерес.;Вес изделия: 0.17г;Пирсинг, вставка:  фианит;    
Розовое золото 585 пробы.;Трендовые золотые украшения. Стильные украшения – обязательный элемент модного образа. Кольца и браслеты, колье и серьги – они всегда вызывают повышенный интерес.",,,,,https://sunlight.net/catalog/piercing_243229.html,СР7083*&РОССИЯ&Розовое золото&Фианит&0.17 г,SERGEY GRIBNYAKOV&Трендовые золотые украшения
12980,Серебряные серьги с фианитами,Артикул: 285359,714₽,2380₽,"Артикул: 285359;Серьги, вставка:  фианит;    
Серебро 925 пробы.;Вес изделия: 1.17г;Серьги, вставка:  фианит;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_285359.html,S55411-C9W-01&Серебро&Фианит&1.17 г,SERGEY GRIBNYAKOV&СЕРЕБРО. Классика
12981,Золотое кольцо с фианитами,Артикул: 200569,6010₽,20033₽,"Артикул: 200569;Кольцо, вставка:  фианит;    
Желтое золото 585 пробы.

Желтое золото. Тёплый жёлтый оттенок металла очаровывает своей интеллигентностью. Такой цвет безупречно будет смотреться на загорелой коже, и придаст ей дополнительное сияние.;Вес изделия: 1.54г;Кольцо, вставка:  фианит;    
Желтое золото 585 пробы.;Желтое золото. Тёплый жёлтый оттенок металла очаровывает своей интеллигентностью. Такой цвет безупречно будет смотреться на загорелой коже, и придаст ей дополнительное сияние.",,,,,https://sunlight.net/catalog/ring_200569.html,5-3942-303-1Ж*&РОССИЯ&Желтое золото&Фианит&1.54 г,SERGEY GRIBNYAKOV&Белое и желтое золото
